dt,rain,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,wind_speed,wind_deg,clouds_all,weather_main,weather_description
2023-08-29 23:30:00+06:30,,300.13,1006,94,300.13,300.13,1.54,220,75,Clouds,broken clouds
2023-08-30 00:30:00+06:30,,299.13,1006,94,299.13,299.13,1.03,250,75,Clouds,broken clouds
2023-08-30 01:30:00+06:30,,299.13,1005,94,299.13,299.13,2.06,240,75,Clouds,broken clouds
2023-08-30 02:30:00+06:30,,299.13,1005,94,299.13,299.13,1.54,250,75,Clouds,broken clouds
2023-08-30 03:30:00+06:30,,299.13,1004,94,299.13,299.13,2.06,260,75,Clouds,broken clouds
2023-08-30 04:30:00+06:30,,299.13,1004,94,299.13,299.13,1.54,270,75,Clouds,broken clouds
2023-08-30 05:30:00+06:30,,299.13,1005,94,299.13,299.13,1.54,210,75,Clouds,broken clouds
2023-08-30 06:30:00+06:30,,299.13,1005,100,299.13,299.13,1.03,160,75,Fog,fog
2023-08-30 07:30:00+06:30,,298.13,1006,100,298.13,298.13,1.03,180,75,Fog,fog
2023-08-30 08:30:00+06:30,,299.13,1007,94,299.13,299.13,1.03,30,75,Mist,mist
2023-08-30 09:30:00+06:30,,301.13,1007,83,301.13,301.13,2.06,230,75,Clouds,broken clouds
2023-08-30 10:30:00+06:30,,302.13,1006,84,302.13,302.13,2.57,240,75,Clouds,broken clouds
2023-08-30 11:30:00+06:30,,302.82,1006,73,302.82,302.82,3.3,173,94,Clouds,overcast clouds
2023-08-30 12:30:00+06:30,,304.13,1006,70,304.13,304.13,3.09,210,75,Clouds,broken clouds
2023-08-30 13:30:00+06:30,,305.13,1005,66,305.13,305.13,3.6,210,75,Clouds,broken clouds
2023-08-30 14:30:00+06:30,,305.13,1004,66,305.13,305.13,5.14,220,75,Clouds,broken clouds
2023-08-30 15:30:00+06:30,,305.13,1003,74,305.13,305.13,5.14,200,75,Clouds,broken clouds
2023-08-30 16:30:00+06:30,,305.13,1003,74,305.13,305.13,5.14,210,75,Clouds,broken clouds
2023-08-30 17:30:00+06:30,,303.13,1004,84,303.13,303.13,2.57,280,75,Drizzle,drizzle
2023-08-30 18:30:00+06:30,,301.13,1005,94,301.13,301.13,2.57,220,75,Clouds,broken clouds
2023-08-30 19:30:00+06:30,,301.13,1005,94,301.13,301.13,1.03,200,75,Clouds,broken clouds
2023-08-30 20:30:00+06:30,,300.13,1006,94,300.13,300.13,5.14,300,75,Clouds,broken clouds
2023-08-30 21:30:00+06:30,,300.13,1007,94,300.13,300.13,1.54,250,100,Clouds,overcast clouds
2023-08-30 22:30:00+06:30,,300.13,1007,94,300.13,300.13,0.0,0,100,Clouds,overcast clouds
2023-08-30 23:30:00+06:30,,300.13,1007,94,300.13,300.13,2.06,210,100,Clouds,overcast clouds
2023-08-31 00:30:00+06:30,,300.13,1007,94,300.13,300.13,1.54,120,100,Clouds,overcast clouds
2023-08-31 01:30:00+06:30,,300.13,1006,94,300.13,300.13,0.0,0,100,Clouds,overcast clouds
2023-08-31 02:30:00+06:30,,298.3,1006,92,298.3,298.3,1.66,238,97,Clouds,overcast clouds
2023-08-31 03:30:00+06:30,,298.13,1005,100,298.13,298.13,0.0,0,75,Mist,mist
2023-08-31 04:30:00+06:30,,298.13,1005,100,298.13,298.13,0.0,0,75,Clouds,broken clouds
2023-08-31 05:30:00+06:30,,298.13,1006,100,298.13,298.13,0.0,0,75,Clouds,broken clouds
2023-08-31 06:30:00+06:30,{'1h': 0.11},298.13,1006,100,298.13,298.13,1.03,230,75,Rain,light rain
2023-08-31 07:30:00+06:30,,299.13,1007,94,299.13,299.13,1.03,220,75,Clouds,broken clouds
2023-08-31 08:30:00+06:30,,299.13,1007,94,299.13,299.13,1.54,250,75,Clouds,broken clouds
2023-08-31 09:30:00+06:30,,302.13,1008,84,302.13,302.13,2.57,290,75,Clouds,broken clouds
2023-08-31 10:30:00+06:30,,302.13,1008,84,302.13,302.13,3.09,240,75,Clouds,broken clouds
2023-08-31 11:30:00+06:30,,303.13,1008,74,303.13,303.13,2.06,190,75,Clouds,broken clouds
2023-08-31 12:30:00+06:30,,305.13,1007,70,305.13,305.13,2.06,210,75,Clouds,broken clouds
2023-08-31 13:30:00+06:30,,306.13,1006,62,306.13,306.13,1.54,260,75,Clouds,broken clouds
2023-08-31 14:30:00+06:30,,306.13,1005,62,306.13,306.13,4.63,240,75,Clouds,broken clouds
2023-08-31 15:30:00+06:30,,306.13,1005,58,306.13,306.13,2.57,240,100,Clouds,overcast clouds
2023-08-31 16:30:00+06:30,,306.13,1004,58,306.13,306.13,4.12,270,100,Clouds,overcast clouds
